index,city_population,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
598,75516,114231,845,50.4153864,49.5846136,3.1,89.8,0.4,2.5,1.4,0.0,6.0,39.3,20.2,23.3,9.4,7.8,72.5,8.6,2.1,5.3,5.6,5.9,76.4,16.5,7.0,0.0,49412,1947,29681,1069,18.1,5317.310713,41.7,28.37,30.6,52.8,42.24277416,13.55956181,22.32682824,3,37.58255494,53.27939463,0.095148328,4573.326871
599,75432,89124,858,52.043220700000006,47.9567793,52.5,41.1,2.0,0.4,2.1,0.1,5.8,25.6,17.6,18.0,22.1,16.7,81.2,13.3,0.6,0.9,0.7,3.4,81.5,13.5,4.8,0.1,60275,1817,22125,694,21.5,3867.751428,52.4,7.4,40.5,64.3,50.9076415,8.092472384,13.3336745,2,55.67453626,37.46205734,0.045076499,4049.92785
600,75130,144425,1133,49.4810455,50.5189545,5.5,79.6,6.3,0.2,6.2,0.1,3.3,47.0,17.8,20.8,5.2,9.2,68.0,8.6,5.9,9.3,4.0,4.2,68.9,26.5,4.5,0.1,59965,1839,33039,914,18.9,2430.621781,49.4,34.81,39.6,59.2,50.16266918,9.817190823,18.53654437,3,27.35118274,65.24564596,0.054026245,4998.477388
601,75038,138639,438,49.2386702,50.7613298,13.9,54.3,1.2,25.8,1.8,0.1,8.3,36.5,22.7,22.5,8.4,9.9,70.0,11.4,1.5,8.6,3.8,4.8,71.5,23.5,4.7,0.2,53523,2500,25722,1041,18.4,3855.745038000001,54.5,9.12,39.6,69.4,48.94614092,10.87394252,31.46606557,3,35.30710558,54.20179312,0.080422047,2938.5370190000003
602,74875,89425,656,50.1504054,49.8495946,6.4,83.8,5.4,0.2,1.0,0.2,5.7,28.0,19.5,23.5,8.1,21.0,83.5,10.7,0.8,1.5,1.2,2.3,84.1,11.3,4.6,0.1,48652,1906,24271,804,17.4,4162.84754,53.5,39.94,43.0,64.0,40.35788179,14.63848348,13.3720474,3,59.78855268,33.68854988,0.123138833,2508.072074
603,74098,183288,1156,49.8766968,50.1233032,4.2,88.1,1.2,1.6,3.4,0.0,3.1,34.0,14.6,24.0,9.0,18.4,85.3,6.5,0.8,2.3,1.4,3.8,86.4,9.4,4.1,0.2,61523,1090,30858,623,19.8,2103.343275,45.9,38.54,36.8,55.0,39.44796176,13.10623271,24.73867399,3,53.14271104,40.57506285,0.03626699,4708.115461
604,73529,92372,827,50.0346425,49.9653575,2.2,89.9,1.7,3.7,0.7,0.0,1.8,39.6,16.0,23.3,11.7,9.4,85.0,8.7,0.3,1.5,0.9,3.7,77.1,17.8,5.0,0.0,67308,1651,36483,859,17.2,1969.089047,42.1,14.59,31.0,53.2,40.06183746,14.34518551,18.54799036,3,67.80466454,22.67867192,0.0275704429999999,4043.643359
605,72828,250979,805,49.4890011,50.5109989,3.9,83.7,4.1,0.3,5.4,0.1,3.5,46.0,14.7,23.1,6.5,9.8,83.3,7.5,2.3,1.0,0.8,5.1,83.2,12.7,4.0,0.1,89598,1707,41591,678,25.8,4107.415244,45.3,32.02,36.3,54.3,38.61705763,12.84005709,14.46820304,1,44.66876972,46.51159566,0.03752886,4175.241621
606,72717,325168,1349,49.271761100000006,50.7282389,51.6,34.2,9.2,0.2,2.4,0.1,6.6,24.8,25.9,28.2,10.0,11.2,81.4,11.6,1.3,0.5,1.6,3.5,86.0,10.3,3.6,0.1,47343,1259,20165,468,32.2,4107.415244,74.9,56.16,65.0,84.8,41.85798270000001,12.58037838,7.821054395,1,35.87649601,60.95174244,0.083825438,4457.38198
607,72436,192685,574,55.658198600000006,44.3418014,12.2,66.8,13.7,0.4,2.1,0.2,10.6,29.5,22.6,26.7,12.1,9.1,70.9,13.4,0.3,8.0,1.9,5.5,67.5,26.0,6.2,0.3,48162,1509,23141,551,21.4,2724.264048,64.3,61.79,54.4,74.2,57.37503701,8.536513149,26.34891884,3,64.97243371,30.65371489,0.051374355,3154.772454
